Farm_ID,District,Location,Year,June,July,Aug,Sept,Oct,Seasonal_mean,Seasonal_max,Growth_rate,NDVI_range,Crop_health
R1,Raichur,Turvihal,2018,0.194396658,0.313071238,0.431745817,0.550420397,0.592330873,0.416392997,0.592330873,0.397934215,0.397934215,Healthy
R1,Raichur,Turvihal,2019,0.139217283,0.044806265,0.20726246,0.369718654,0.534465266,0.259093985,0.534465266,0.395247983,0.489659001,Moderate
R1,Raichur,Turvihal,2020,0.399279557,0.428845228,0.458410899,0.48797657,0.67010017,0.488922485,0.67010017,0.270820613,0.270820613,Healthy
R1,Raichur,Turvihal,2021,0.315583438,0.322194119,0.3288048,0.648679319,0.663071595,0.455666654,0.663071595,0.347488158,0.347488158,Healthy
R10,Raichur,Ballatgi,2018,0.116623331,0.083705026,0.050786722,0.150787116,0.413715629,0.163123565,0.413715629,0.297092299,0.362928908,Stressed
R10,Raichur,Ballatgi,2019,0.062366826,0.044306206,0.062002073,0.07969794,0.260356806,0.10174597,0.260356806,0.197989979,0.216050599,Stressed
R10,Raichur,Ballatgi,2020,0.098792963,0.191890655,0.32708971,0.462288764,0.632785908,0.3425696,0.632785908,0.533992945,0.533992945,Healthy
R10,Raichur,Ballatgi,2021,0.138922455,0.185500101,0.232077748,0.596973763,0.62988634,0.356672081,0.62988634,0.490963885,0.490963885,Healthy
R11,Raichur,Sultanpur,2018,0.157664318,0.213536195,0.269408071,0.291153581,0.303726011,0.247097635,0.303726011,0.146061693,0.146061693,Moderate
R11,Raichur,Sultanpur,2019,0.050862029,0.132473563,0.128170128,0.418487656,0.374395473,0.22087777,0.418487656,0.323533444,0.367625627,Moderate
R11,Raichur,Sultanpur,2020,0.193525477,0.277529455,0.361533433,0.445537412,0.333191471,0.32226345,0.445537412,0.139665994,0.252011935,Moderate
R11,Raichur,Sultanpur,2021,0.233039978,0.370723659,0.50840734,0.482699794,0.431560698,0.405286294,0.50840734,0.19852072,0.275367362,Healthy
R12,Raichur,Murhanpur,2018,0.129621833,0.215541896,0.301461959,0.386531457,0.310094063,0.268650242,0.386531457,0.18047223,0.256909624,Moderate
R12,Raichur,Murhanpur,2019,0.037913471,0.126437773,0.144953852,0.359417701,0.323833767,0.198511313,0.359417701,0.285920296,0.32150423,Moderate
R12,Raichur,Murhanpur,2020,0.152130715,0.256158234,0.360185752,0.464213271,0.393612711,0.325260137,0.464213271,0.241481996,0.312082556,Moderate
R12,Raichur,Murhanpur,2021,0.189739281,0.334809785,0.479880288,0.518442149,0.431061334,0.390786568,0.518442149,0.241322053,0.328702867,Healthy
R13,Raichur,Shakapur,2018,0.13314611,0.204054932,0.274963754,0.324233695,0.337733936,0.254826486,0.337733936,0.204587826,0.204587826,Moderate
R13,Raichur,Shakapur,2019,0.041421805,0.074099435,0.094762208,0.393499884,0.317415142,0.184239695,0.393499884,0.275993337,0.35207808,Moderate
R13,Raichur,Shakapur,2020,0.133015275,0.201015169,0.269015063,0.337014957,0.353940405,0.258800174,0.353940405,0.220925131,0.220925131,Moderate
R13,Raichur,Shakapur,2021,0.198674212,0.325503844,0.452333476,0.408139516,0.418855879,0.360701385,0.452333476,0.220181667,0.253659265,Healthy
R14,Bidar,Chikpet,2018,0.14261156,0.256352871,0.370094182,0.426993004,0.328025286,0.304815381,0.426993004,0.185413726,0.284381445,Moderate
R14,Bidar,Chikpet,2019,0.05245621,0.076270376,0.189410306,0.52222726,0.408546244,0.249782079,0.52222726,0.356090034,0.46977105,Moderate
R14,Bidar,Chikpet,2020,0.188078395,0.269394221,0.350710047,0.432025873,0.33926171,0.315894049,0.432025873,0.151183315,0.243947478,Moderate
R14,Bidar,Chikpet,2021,0.214422437,0.313878651,0.413334865,0.418170876,0.405305543,0.353022474,0.418170876,0.190883105,0.203748439,Healthy
R15,Bidar,Fatehpur,2018,0.082587541,0.20878569,0.334983838,0.252429709,0.305045259,0.236766407,0.334983838,0.222457717,0.252396297,Moderate
R15,Bidar,Fatehpur,2019,0.034538698,0.069034962,0.114445781,0.498901111,0.499491087,0.243282328,0.499491087,0.464952389,0.464952389,Moderate
R15,Bidar,Fatehpur,2020,0.106931311,0.225522034,0.344112758,0.462703481,0.385624748,0.304978866,0.462703481,0.278693437,0.35577217,Moderate
R15,Bidar,Fatehpur,2021,0.155399004,0.25158811,0.347777216,0.151767405,0.443858892,0.270078125,0.443858892,0.288459888,0.292091487,Moderate
R16,Raichur,Hirekotnekal,2018,0.105614637,0.055965754,0.006316872,0.162193019,0.384217745,0.142861606,0.384217745,0.278603108,0.377900874,Stressed
R16,Raichur,Hirekotnekal,2019,0.107100884,0.05766054,0.071619205,0.08557787,0.159358173,0.096263334,0.159358173,0.052257289,0.101697633,Stressed
R16,Raichur,Hirekotnekal,2020,0.169959953,0.186468226,0.262020365,0.337572503,0.563445133,0.303893236,0.563445133,0.39348518,0.39348518,Moderate
R16,Raichur,Hirekotnekal,2021,0.104419213,0.133008324,0.161597435,0.417918886,0.585010245,0.280390821,0.585010245,0.480591032,0.480591032,Moderate
R17,Raichur,Amravathi Camp,2018,0.10990043,0.061403562,0.012906695,0.118214505,0.272873472,0.115059733,0.272873472,0.162973041,0.259966777,Stressed
R17,Raichur,Amravathi Camp,2019,0.091848478,0.048891424,0.068933317,0.08897521,0.131377009,0.086005088,0.131377009,0.039528531,0.082485585,Stressed
R17,Raichur,Amravathi Camp,2020,0.12373466,0.126210534,0.215494674,0.304778813,0.497798222,0.253603381,0.497798222,0.374063562,0.374063562,Moderate
R17,Raichur,Amravathi Camp,2021,0.108267631,0.15027215,0.19227667,0.377834133,0.525038389,0.270737795,0.525038389,0.416770759,0.416770759,Moderate
R18,Raichur,Amareshwara,2018,0.102388148,0.055757971,0.009127794,0.13634272,0.326423591,0.126008045,0.326423591,0.224035443,0.317295797,Stressed
R18,Raichur,Amareshwara,2019,0.098648517,0.057771718,0.075880567,0.093989415,0.141336686,0.093525381,0.141336686,0.04268817,0.083564968,Stressed
R18,Raichur,Amareshwara,2020,0.122920931,0.135664497,0.216786658,0.297908818,0.542466986,0.263149578,0.542466986,0.419546055,0.419546055,Moderate
R18,Raichur,Amareshwara,2021,0.10338497,0.137012888,0.170640807,0.394095757,0.563548745,0.273736633,0.563548745,0.460163775,0.460163775,Moderate
R19,Raichur,Udbal,2018,0.075975537,0.076366735,0.076757933,0.077149131,0.195168271,0.100283521,0.195168271,0.119192734,0.119192734,Stressed
R19,Raichur,Udbal,2019,0.101660024,0.078386415,0.108989291,0.139592167,0.165206424,0.118766864,0.165206424,0.0635464,0.086820009,Stressed
R19,Raichur,Udbal,2020,0.092307834,0.105449929,0.118592025,0.13173412,0.272725293,0.14416184,0.272725293,0.180417459,0.180417459,Stressed
R19,Raichur,Udbal,2021,0.145891778,0.139288131,0.132684484,0.247751547,0.42718606,0.2185604,0.42718606,0.281294283,0.294501576,Moderate
R2,Raichur,Chikka Nagnur,2018,0.08780992,0.098468371,0.109126822,0.119785273,0.153944732,0.113827024,0.153944732,0.066134812,0.066134812,Stressed
R2,Raichur,Chikka Nagnur,2019,0.059073183,0.053305583,0.200987115,0.348668647,0.447441275,0.22189516,0.447441275,0.388368092,0.394135692,Moderate
R2,Raichur,Chikka Nagnur,2020,0.082807118,0.157059482,0.231311846,0.30556421,0.490394491,0.253427429,0.490394491,0.407587373,0.407587373,Moderate
R2,Raichur,Chikka Nagnur,2021,0.099869445,0.202476773,0.305084101,0.498566032,0.506601938,0.322519658,0.506601938,0.406732493,0.406732493,Moderate
R2,Raichur,Upaladoddi,2018,0.096545633,0.166814494,0.237083354,0.307352214,0.615236245,0.284606388,0.615236245,0.518690611,0.518690611,Moderate
R2,Raichur,Upaladoddi,2019,0.082916036,0.065331301,0.148097242,0.230863184,0.403534433,0.186148439,0.403534433,0.320618397,0.338203133,Moderate
R2,Raichur,Upaladoddi,2020,0.228171515,0.37509595,0.522020384,0.668944818,0.673747065,0.493595947,0.673747065,0.44557555,0.44557555,Healthy
R2,Raichur,Upaladoddi,2021,0.249719068,0.268995206,0.288271344,0.622643304,0.658891791,0.417704143,0.658891791,0.409172723,0.409172723,Healthy
R20,Raichur,jeenur,2018,0.07901347,0.050495776,0.021978081,0.067243818,0.165589526,0.076864134,0.165589526,0.086576055,0.143611444,Stressed
R20,Raichur,jeenur,2019,0.086459055,0.074632395,0.104938631,0.135244868,0.152850036,0.110824997,0.152850036,0.06639098,0.078217641,Stressed
R20,Raichur,jeenur,2020,0.117794484,0.219436213,0.197348871,0.17526153,0.269065106,0.195781241,0.269065106,0.151270622,0.151270622,Moderate
R20,Raichur,jeenur,2021,0.192923806,0.184537946,0.176152086,0.221412055,0.513943437,0.257793866,0.513943437,0.321019632,0.337791351,Moderate
R4,Raichur,Sasalmari,2018,0.273684535,0.310556024,0.347427513,0.384299002,0.614991657,0.386191746,0.614991657,0.341307122,0.341307122,Healthy
R4,Raichur,Sasalmari,2019,0.13250967,0.081300965,0.14006348,0.198825995,0.34944993,0.180430008,0.34944993,0.21694026,0.268148965,Moderate
R4,Raichur,Sasalmari,2020,0.388498301,0.39408814,0.399677978,0.405267817,0.65477977,0.448462401,0.65477977,0.266281469,0.266281469,Healthy
R4,Raichur,Sasalmari,2021,0.280822414,0.28492006,0.289017706,0.620008636,0.620233653,0.419000494,0.620233653,0.339411239,0.339411239,Healthy
R5,Raichur,Tippanahatti,2018,0.126761774,0.166087476,0.205413178,0.24473888,0.597223321,0.268044926,0.597223321,0.470461548,0.470461548,Moderate
R5,Raichur,Tippanahatti,2019,0.10479217,0.034057209,0.156124826,0.278192443,0.403523482,0.195338026,0.403523482,0.298731312,0.369466272,Moderate
R5,Raichur,Tippanahatti,2020,0.227288445,0.277554626,0.327820807,0.378086988,0.685242679,0.379198709,0.685242679,0.457954234,0.457954234,Healthy
R5,Raichur,Tippanahatti,2021,0.163702229,0.225660027,0.287617825,0.648680902,0.656787213,0.396489639,0.656787213,0.493084983,0.493084983,Healthy
R6,Raichur,Manvi,2018,0.132632127,0.065320753,0,0.130664204,0.259792815,0.11768198,0.259792815,0.127160689,0.259792815,Stressed
R6,Raichur,Manvi,2019,0.115439993,0.115439993,0.139228861,0.163017729,0.331351097,0.172895535,0.331351097,0.215911104,0.215911104,Stressed
R6,Raichur,Manvi,2020,0.205683683,0.324156637,0.408035477,0.491914317,0.524127566,0.390783536,0.524127566,0.318443883,0.318443883,Healthy
R6,Raichur,Manvi,2021,0.123771074,0.197909203,0.272047331,0.487142335,0.501895243,0.316553037,0.501895243,0.378124169,0.378124169,Moderate
R7,Raichur,Madlapur,2018,0.094242973,0.040532094,0,0.309545566,0.482371204,0.185338367,0.482371204,0.388128231,0.482371204,Moderate
R7,Raichur,Madlapur,2019,0.055623222,0.055623222,0.13624779,0.216872358,0.512993136,0.195471945,0.512993136,0.457369914,0.457369914,Moderate
R7,Raichur,Madlapur,2020,0.138393078,0.150116519,0.325901428,0.501686338,0.5717688,0.337573232,0.5717688,0.433375722,0.433375722,Healthy
R7,Raichur,Madlapur,2021,0.112085099,0.194342437,0.276599775,0.485616126,0.559765769,0.325681841,0.559765769,0.44768067,0.44768067,Moderate
R8,Raichur,Amareshwara Camp,2018,0.095333597,0.04451416,0,0.192632628,0.443853924,0.155266862,0.443853924,0.348520327,0.443853924,Stressed
R8,Raichur,Amareshwara Camp,2019,0.145225738,0.071468498,0.097444628,0.123420758,0.192074337,0.125926792,0.192074337,0.046848599,0.120605839,Stressed
R8,Raichur,Amareshwara Camp,2020,0.164960834,0.203317719,0.248000337,0.292682956,0.631871277,0.308166625,0.631871277,0.466910443,0.466910443,Moderate
R8,Raichur,Amareshwara Camp,2021,0.116952694,0.134946583,0.152940472,0.444814334,0.63329331,0.296589479,0.63329331,0.516340616,0.516340616,Moderate
R9,Raichur,Hiredinni,2018,0.132740404,0.200239707,0.26773901,0.335238313,0.491842517,0.285559991,0.491842517,0.359102113,0.359102113,Moderate
R9,Raichur,Hiredinni,2019,0.084858771,0.05817215,0.094925689,0.131679227,0.23390256,0.120707679,0.23390256,0.149043789,0.175730409,Stressed
R9,Raichur,Hiredinni,2020,0.108032383,0.240275372,0.372518362,0.504761351,0.611737652,0.367465024,0.611737652,0.503705269,0.503705269,Healthy
R9,Raichur,Hiredinni,2021,0.158301007,0.247560915,0.336820823,0.622121801,0.618344214,0.396629752,0.622121801,0.460043207,0.463820794,Healthy
